Invoice No.,Reference No.,Invoice Date,Due Date,Customer,Exchange Rate,Invoice Message,Terms & Conditions,Delivered,Item,Quantity,Rate,Description
B-101,REF-0,2024-04-15,2024-04-17,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-102,REF-1,2024-04-16,2024-04-18,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-103,REF-2,2024-04-17,2024-04-19,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-104,REF-3,2024-04-18,2024-04-20,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-105,REF-4,2024-04-19,2024-04-21,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-106,REF-5,2024-04-20,2024-04-22,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-107,REF-6,2024-04-21,2024-04-23,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-108,REF-7,2024-04-22,2024-04-24,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-109,REF-8,2024-04-23,2024-04-25,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-110,REF-9,2024-04-24,2024-04-26,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-111,REF-10,2024-04-25,2024-04-27,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-112,REF-11,2024-04-26,2024-04-28,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-113,REF-12,2024-04-27,2024-04-29,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-114,REF-13,2024-04-28,2024-04-30,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-115,REF-14,2024-04-29,2024-05-01,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-116,REF-15,2024-04-30,2024-05-02,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-117,REF-16,2024-05-01,2024-05-03,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-118,REF-17,2024-05-02,2024-05-04,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-119,REF-18,2024-05-03,2024-05-05,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-120,REF-19,2024-05-04,2024-05-06,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-121,REF-20,2024-05-05,2024-05-07,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-122,REF-21,2024-05-06,2024-05-08,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-123,REF-22,2024-05-07,2024-05-09,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-124,REF-23,2024-05-08,2024-05-10,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-125,REF-24,2024-05-09,2024-05-11,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-126,REF-25,2024-05-10,2024-05-12,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-127,REF-26,2024-05-11,2024-05-13,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-128,REF-27,2024-05-12,2024-05-14,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-129,REF-28,2024-05-13,2024-05-15,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-130,REF-29,2024-05-14,2024-05-16,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-131,REF-30,2024-05-15,2024-05-17,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-132,REF-31,2024-05-16,2024-05-18,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-133,REF-32,2024-05-17,2024-05-19,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-134,REF-33,2024-05-18,2024-05-20,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-135,REF-34,2024-05-19,2024-05-21,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-136,REF-35,2024-05-20,2024-05-22,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-137,REF-36,2024-05-21,2024-05-23,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-138,REF-37,2024-05-22,2024-05-24,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-139,REF-38,2024-05-23,2024-05-25,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-140,REF-39,2024-05-24,2024-05-26,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-141,REF-40,2024-05-25,2024-05-27,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
B-142,REF-41,2024-05-26,2024-05-28,Harley Veum,1,Aspernatur doloremque amet quia aut.,Quia illum aut dolores.,T,Amoxicillin and Clavulanatea,100,100,Description
